Ulasan
"Oversize dari hongkong, kasih judul yg sesuai produk dong kak jgn kasih judul supaya gampang dicari doang"
Ukurannya pas
UKURAN KEKECILAN
Cukup
bahan tipis
"Barang sdh gw terima namun tibanya tdk sesuai jadwal. Malah lebih lama, karena yg ngantar “mungkin” lagi AMBEYEN. Bikin dingkol tp tokonya baguslah."
Ukurannya pas Berat badan 60 - 70 kg
warna tidak sesuai pesanan!
"Selalu suka dengan fittingnya hoc, tapi entah kenapa beli celana kargonya. Udah 2x, dua2nya baru sekali pake, kancingnya lepas semua"
sesuai pesanan. warna off white nya cukup bagus. lingkar pinggang saya 78cm dan sangat pas di ukuran 28. overall sangat puas dengan produk ini. terimakasih houseofcuff Ukurannya pas Berat badan < 60 kg
Ukurannya pas
barang lumayan bagus dan sesuai foto
Ukurannya pas Tinggi badan 160 - 170 cm Berat badan 71 - 80 kg
Bagus
"sedikit kecewa , 3 kaos d jadiin 1 plastik dan digulung, bukan lagiiiiiiiii"
Kaos polos disini ga pernah mengecewakan!
"salah satu saku bajunya ada yg ke jahit jadi nempel sama bagian dalam,mungkin quality control nya lebih di tingkatkan lagi"
bagus
selalu suka sama kualitas kaosnya dari jaman kuliah dulu sampai sekarang
Barang yg sy terima beda dg pesanan
"mantappppppp, pembelian ke 3"
"model bagus, bahannya bagus, semoga sukses terus"
Ukurannya pas
warna kurang presisi
Ukurannya pas untuk Tinggi badan 160 - 170 cm dan Berat badan < 60 kg. bahannya bagus
modelnya keren sipp
"Barang stok terlalu lama di gudang, bagian dalam berjamur semua"
ok
"lama banget pengiriman, dan respon penjual buat follow up barang ke jasa ekspedisi gak terlalu baik"
"premium cotton tapi gerah cuy, soalnya bahannya katin 50% dan polister 50%, enakan yg softstyle lebih adem"
Ukurannya pas
harga murah. barang cukup bagus. semoga awet
bahannya diluar ekspetasi yah
salah motif
panas
sangat bagus dan berguna bagi aktifitas saya sehari hari
penyanggah tidak kuat dan beda dengan yg dipesan.
Nyaman dipakai Ukuran sesuai Modelnya keren Warnanya mantap Tidak menerawang Jahitannya rapi makasih sesuai pesanan
"Bahan cukup bagus, murah, proses cepat"
Ukurannya pas Tinggi badan < 160 cm
"beli 3 dasi dengan pilihan ukuran yg sama, tapi pas sampai ternyata ukurannya beda"
"Barang pesanan sdh saya trima, lengkap sesuai pesanan. Material bahan dan jahitan bagus"
"respon cepat, kemasan bagus, barang sesuai"
"Jaitan ga rapih, kancing gabisa masuk, mengecewakan"
"Bahan bajunya kurang lembut, yang lembut hanya bahan dibagian lehernya aja, Mohon tingkatkan lagi kelembutan seluruh bahan bajunya ya. Jika ada Turtle neck shirt yang bahan bajunya lembut banget dan adem seperti bahan spandek tolong kabarin saya ya, karena saya mau beli Turtle neck shirt yang bahannya lembut seperti bahan spandek gitu hehe"
Mantappp
bahan nya tipis bgt. jahitan nya juga gak rapih. harga segini di victoria busana bandung dapet yg lebih bagus.
Minta ukuran M yang dikirim ukuran L
kurang besar lingkar pinggang dan lingkar pahanya
Bagus
"Kualitas sesuai harga, lumayan lah"
bahan ok
"modelnya keren, ringan, unt acara santai ukuran pas"
Ukurannya pas Berat badan 60 - 70 kg
habis dicuci sobek jahitannya di bagian samping
barang sangat tipis dan jahitan tidak rapi
xl kok kayak m
"produk bagus, seller ok"
"bahan bagus, kancing gak ada yg kendor, jahitannya rapi, perfect"
pas di badan dan bahannya enak
Ukurannya pas Berat badan 60 - 70 kg Tinggi badan 160 - 170 cm
"Bahan Bagus (tidak tipis, dan nyaman even dipake kerja seharian), bisa dilihat ya tinggi 169cm dengan berat 65 kg (tidak perut buncit, badan berisi karena otot) celana masih aman, panjang pas diatas ankle. (expendable waistnya membantu bgt)"
"masih ada jahitan sampingnya warna ga full bugundy,ada bercak putih"
Ukurannya di badan. Dipakainya enak adem. Bahannya bagus. Thanks
"Kaos tipis banget, saya pikir heavy cotton=tebal, ternyata tidak"
Ukurannya pas Tinggi badan 160 - 170 cm Berat badan > 80 kg
barang tidak sesuai dan kualitas buruk
mantap kaosnya bahannya adem dan ukuran pas
Bahan stretch dan jahitan bagus.
"Nice, originalll"
Bagus banget
ukuran tidak sesuai dengan ketentuan
pembelian kemeja yg kedua..bahan dan jahitan bagus
Bahan tebal dan adem nyaman buat aktivitas
Ukurannya pas
Jenis bahan sangat tidak berkwalitas sintetis dan gampang ditusuk ketika nambahin lobang
Ukurannya pas Tinggi badan 180 cm Berat badan 97 kg XL. Bahan bagus. Finishing Rapi. yuk buruan beli
Ukurannya pas
"Tinggi 170, BB 78, XL nya mayan mantap kain seperti biasa bagus"
Tidak ada lobang kancing celana
"Produk bagus. Ada baiknya response pengiriman diperbaiki, apalagi pembeli sudah beberapa kali memohon agar dikirim lebih cepat di jam dan hari pengiriman toko. Sayang saja, kami harus beli lagi di toko lain yang mau merespon kirim sesuai permohonan kami, padahal kami maunya pakai produk house of cuff."
ukuran liliput
Ukurannya pas Tinggi badan 160 - 170 cm
"Untuk ukuran M, lingkar untuk kepala terlalu lebar."
Lem & jahitan rapi Ringan dipakai Ukuran pas di kaki Nyaman dipakai Modelnya keren
barang nya bagus. 
Good stuff
cuttingannya jelek tiap baju beda2
"untuk bahan, enak dan adem. namun kelemahannya ada di kantong saku. baru dipakai 1 hari, udah berlubang. sangat kecewa untuk durability kantongnya. mohon Tim QC nya lebih diperhatikan."
"beli ikat pinggang kulit, tapi belum dibolongin. ini sih ngerjain user suruh ngelobangin sendiri. kalau sudah ada lubang dan kurang, ya wajarlah kalau harus custom. apakah di HoC ga ada orang QA, QC, atau RnD yg mengerti konsep percentile utk pembuatan produk?"
"Bahannya bener2 adem banget tapi tidak tipis juga bahannya, pokoknya nyaman banget thank ya"
"Terima kasih Tokopedia, pesenan saya sdh tiba. Ukurannya pas"
bagus celananya semoga awet
"Lumayan, size di badan Pas , panjang celana juga sip banget. bahan kain ringan dan lumayan tebal. Jahitan lumayan rapih, Bolehlaah"
"ukuran tidak seperti biasanya, biasanya pakai L cukup,yg ukuran L disini lebih kecil."
"sayang, jahitannya tdk rapi, kurang profesional"
"Sejauh ini aman tdk ada kerusakan apapun, masih awet , mudah - mudahan tahan lama , thanks for speed delivery"
Motif tidak sesuai seperti display yang di pesan
"jahitannya kurang rapih, ukurannya kecil, harusnya ukuran XL itu besar, tapi ini XL nya kecil, kualitas kurang, bahannya kaku, bukan bahan kanvas yg Bagus"
Tipis bet
Ukurannya pas
Ukurannya pas Tinggi badan 160 - 170 cm Berat badan < 60 kg
Bagus banget
"pengiriman tergolong cepat, ukuran tidak ada masalah, bahan juga cukup bagus. hanya saja jahitan celananya tergolong buruk. kenapa? karena baru sekali dipakai sudah lepas2 jahitannya seperti terlihat digambar."
menurut saya celana nya bagus terima kasih ya
"sepertinya barang yg ini juga tidak mengalami QC , dengan begini pembeli jadi harus 2x kerja utk yg seperti ini, saya kasih B3, tidak akan saya retur karena juga saya memang butuh cepat, ke depan perbaiki lagi QC nya, terimakasih"
barang oke sesuai harga Jahitannya rapi Modelnya keren
Ukurannya pas
Ukurannya pas
"produk tidak sesuai deskripsi/foto (warna tidak sesuai), jahitan kurang rapi, packaging ok"
"Ukurannya pas untuk Tinggi badan 160 - 170 cm Berat badan 60 - 70 kg, moga awet aja deh, bahanya tebel, motifnya bagus."
jahitan amburadul bahannya setipis kesabaran
Ukurannya terlalu kecil
Ok
"Navy tp lebih ke arah hitam, ralat ternyata warna hitam beneran. Lain kali sebelum kirim di pastikan dlu"
Ukurannya pas
barang bagus
"Menurut sy kualitas celananya kurang bagus, bahan tipis, jahitan jg ada yg lepas, sekali pake selangkangan lgsg brudul ky di foto. Pelayanan so so lah. Size 33nya juga agak besar, ga slimfit di sy. Overall di harga segini dikembalikan lg ke konsumen. Ini penilaian objektif sy ya sbg konsumen stlh beli celana. Jadi, no hurt feelings"
"penjual slow respons, tanda uk kemeja lepas, bahan lumayan tipis, klaim nggak gampang kusut tapi gampang kusut. semoga membantu"
Best buy bulan ini sih ni celana. Bahan sama potongannya cakeup.
Bahannya lembut
"Jahitan tidak rapih, pengiriman lama."
warna yang datang salah pesen warna biru tua yang datang warna hitam
"warna tidak sesuai dgn yg di pesan, tanpa ada konfirmasi langsung dikirim."
bahan bagus ukuran press body.
"Ukurannya pas, bahannya agak tipis.. semoga awet"
produk mantap sesuai warnanya Ukurannya pas
Ukurannya pas
lumayan
"Mantul, bahan halus nyaman good next order lagi"
"bagus adem ses diskripsi sesuai harga, Ukurannya pas"
sempit
kualitasnya lebih bagus beli di dep.store dengan harga yg relatif sama
"bahan tipis, panas, tdak sesuai"
"KECEWA BERAT, PRODUK TIDAK SESUAI SUDAH DI INGATKAN TAPI ASAL KIRIM SAJA, PROSES RETUR RIBET MAU MAKI TAPI DOSA TOKO INI JUARA DALAM KATEGORI SALAH KIRIM"
"di gambar dan yang datang berbeda, amat sangat buruk kualiatas nya, saya kira betulan produk sedang promo, ternyata memang BARANG MURAH !!!"
warna berbeda ya dari gambar (kalau direspon saya edit bintangnya)
Ukurannya pas
"kemejanya potongannya gak rapi, banyak jahitan yang gak rapi plus di proses dan pengirimannya lama banget. padahal next day loh"
"sesuai harga, hehe"
"pengiriman sangat terlambat, pesan hari kamis baru diurus pengiriman hari Senin sore dan jawaban yg diberikan sangat tidak memuaskan"
Ukurannya pas
sangat sesuai yang saya harapkan
Pengiriman lama
"bahannya bagus, sizenya pas, mantap pkokya"
"Bahan lumayan kasar, kurang nyaman dipakai. Ukuran juga tidak standar, lebih besar dari biasanya (oversize)"
Ukurannya terlalu kecil
Ukurannya pas Tinggi badan 171 - 180 cm Berat badan > 80 kg
"keren sih, bahannya adem, ukurannya juga sesuai, puas deh. Next bakal repeat order"
"Ukurannya pas, sesuai pesanan, harga murah, pengiriman cepat. terima kasih ya"
"barangnya bagus dan dibuat dari bahan kualitas baik. bentuk topi sesuai gambar. tapi warna barang berbeda warna yang dikirim adalah warna biru, yang dipesan abu-abu. sebagai jenama lokal yang sudah punya nama baik, House of Cuff seharusnya memiliki kemasan dus khusus untuk topi dan memberikan info apabila warna produk yang dipesan stoknya kosong. terima kasih."
kaos dalam kondisi baik. sangat disayangkan beda ukuran dgn yg dibeli 2 hari lalu. sama2 M tapi lebih besar yg hari ini sampai. tolong qc nya lebih teliti.
"Ukurannya pas, Tinggi badan 171 - 180 cm"
Bahannya enak banget. Kualitas premium. Bakal reorder sih fix.
Kemasan diterima dalam keadaan sudah tersobek/terbuka seperti di foto. Tidak ada WA dari kurir kalo barang udah datang (saya ambil sudah ada di depan pintu). Please investigate
Ukurannya pas
Ukuran xl yg satu dan yg lain jelek
Ukurannya pas
"Ukuran pas, jahitan lumayan. Bahan tergolong tiiipiss buat harga segitu."
"Kantong celana bagian dalam robek, kancing kait terlepas, ukuran celana sesuai, bahan stretch"
Jahitan benangnya kurang rapi masih berantakan kecewa
warnanya keren
Ukurannya pas Tinggi badan 171 - 180 cm Berat badan 71 - 80 kg
"okee sih, recommend banget bahannya adem dan nyaman dipakai pokoknya all the best this product"
"kualitas lainnya kasar, berbayang"
model oke. bahan lumayan oke. jahitan rapih Ukurannya pas. tks bonusnya...
bagus
"Buat daily nongki2 santuy, ni lg dipak"
Bahan tak sesuai harga
tipis
Ukurannya terlalu kecil Ukurannya pas Tinggi badan 160 - 170 cm
ukuran dan peckingan sesuai orderan
Warna dan sablon (kelihatannya) bagus
Bahannya bagus
"yang di gambar cenderung oval, yang datang malah kotak. Terus bahannya juga ringkih banget, ga seperti yang di Foto. Plastiknya kaya plastik mainan, mohon maaf tapi saya jujurr yaa"
bahan enak sesuai deskripsi
agak tipis
"lubang kancing tidak dibolongin - ukuran XL tapi kok kecil (ini mungkin sy yg kurang riset ukuran) - pengiriman sgt lambat, sama2 di jakarta, pesan hari sabtu tapi baru sampai hari kamis"
"Penjual ramah, packing aman. Tapi kacamatanya aduh ini kenapa miring di segala sisi Astagaaaa bentuknya juga beda jauh sama di foto, di foto lebih ke bulat tapi datangnya persis kotak"
"tipis yah bahan nya, dengan harga yang sama mungkin bnyak yg lebih tebal bahan"
"kualitas harga kurang dari 200 mah jangan berharap banyak bukan premium banget lah harga segini mah, terutama resleting+kancingnya terasa ga solid so 4* aja ya"
yelow nya tidak soft
"barang sudah sampai, warnanya tidak sesuai, kualitas bahan tipis benar kecewa "
gaada dapat stiker
Ini yang ke 2 sama barnag bagus
Ukurannya pas
Good
"bahannya enak adem, Ukurannya pas Tinggi badan 160 - 170 cm Berat badan > 80 kg"
Bahan nya mantab enak di pake nyaman asli keren nih
"Ukurannya terlalu kecil, bahan kurang tebal"
bad
"bahan bagus, jahitan rapi, ukuran pas d badan, gak longgar"
Kualitas produk bagus Produk sesuai dengan foto
"Beli baru lho ini knp lecek gini ya sangat di sayangkan sekali,mulai dari packing trus Quality kontrolnya produk padahal customer kalau puas dia bisa membawa orng” lain juga utk membeli"
bahannya agak kasar
"produk sesuai foto, desain bagus"
oke
bagus bahan nya adem. dan dapet promo pula thanks seller
"bahan kurang bagus, saku kurang dalam sehari pakai pods dan korek udah jadi korban wkwk"
"bahan tipis, jahitan kurang rapi bahkan kain kantong celana dalam nya sampai ikut terjahit dgn yg buat ikat pinggang"
B aja
"Tinggi badan 174 cm pas sih Bahannya kurang bagus, nerawang dikit, ga halus, gampang kusut tapi sesuai harga sih"
keren semoga dipake awet
kardus buat pengirimannya kurang bagus apalagi buat pengiriman luar pulau. akhirnya topi peyok ndak rapi lagi. next time pengiriman ke luar pulau sebaik nya di kasih bubble wrap atau apalah biar tetap rapi
bahannya agak kasar
"bahan tipis, bikin panas, dan tdk menyerap keringat (bikin bau)"
"Saya beli Ukuran L Tinggi Badan 168Cm Berat Badan 75Kg Mantap, Recomended seller. Harga dan kualitas barang bagus. Kelas International Ukurannya pas Tinggi badan 160 - 170 cm"
"bahan bagus, packaging bagus. cocok juga untuk kado"
barang ok
"Setelah minta penukaran barang, barang yg di tukar ini doang yg bisa di pake saya biasa make celana ukuran 34-35 di merk2 lain. Saya pesan celana ini ukuran 36, dan gak muat doang akhirnya saya ajukan penukaran ke nomot 37, dan akhirnya muat, dan yg lucu nya saya order yg warna hitam juga, dan sempat ajukan penukaran barang dengan nomor 37 juga, tapi sempit banget, padahal model dan ukuran nya sama. Sekedar masukan aja buat calon2 pembeli, klo mau order baik nya pesan 2-3 ukuran di atas ukuran celana yg biasa di pake."
"Fitnya oke, bahan oke, jahitan oke, mantap"
jaitan pinggang kiri robek gitu asli
Good
bagus
Kekecilan tidak sesuai ukurannya
Barang sesuai saya suka
overall bagus
"Produk sesuai pesanan, kualitas baik, dan respon cepat. Good seller"
Ukurannya pas
"dari harga, kualitas bahan yang di berikan tidak sebanding."
Ukurannya terlalu besar
"2 kali order dalam 1 waktu, kedua nya salah kirim warna barang, yg di order mocca, yg dikirim abu-abu..ini bisa dibilang seperti bukan ketidaksengajaan andai kesalahan pada 2 order yg dalam 1 waktu tsb..secara kualitas juga biasa saja..terimakasih"
"Seller responsif, sepatu nyaman dipakai dan empuk, dan pengiriman aman. terima kasih. sukses selalu."
Ukurannya pas Tinggi badan 160 - 170 cm Berat badan 60 - 70 kg
Respon agak lama
"Bahan bagus, jahitan rapih, pas dipakainya"
"Barangnya tidak sama dengan foto, bentuk kancing berbeda detail bahan juga kaku dan agak panas"
tidak ada plastik pembungkus di masing2 baju yg saya beli
lumayan
"Bonusan celananya size chart nya kurang pas, retur agak ruwet prosesnya. Parfumnya oke wanginya."
keren
Ukurannya pas Tinggi badan 160 - 170 cm Berat badan 71 - 80 kg
"Kualitas bagus, bahannya oke, warna pilihan sesuai pesanan, tapi kok lubangnya ga dilubangi? Gimana cara pakainya kalo harus repot ke tukang jahit dulu, mana bayar pula cuma lubangi gituan doang, coba sendiri pakai gunting cutter dll juga susah karena terlalu tebal. Huftt"
"Ukuran no 36 sedikit kurang panjang dan besar dari seharusnya, sehingga bagian kaki sedikit cingkrang krn kurang panjang (lihat foto) . Lubang kancing buntu (lihat foto) dgn jahitan kurang rapi. Plus, harga agak murah, jadinya kualitas sesuai harga"
barang nya bagus
barang sesuai pesanan
"Kantong samping terasa agak kecil, hape sering jatoh"
"minta batal karena salah pilih ukuran, penjual bilang gak usah batal, cukup diganti langsung pas kirim. ternyata begitu tiba, gagal manuver ukurannya."
Tipis bet
Ukuran tidak sesuai dengan yang dicantumkan dalam panduan ukuran. Bahan menerawang.
"Bahannya tipis, mirip kaos 100 ribu dapet 3 pcs di pasar malam. kecewah"
bahan oke
"cukup memuaskan,overall bagus."
Model premium dan ukuran pas
bahan terlalu tipis
"pesan tanggal 21, dikabarin tanggal 24 kalau barangnya kosong. beuuh pelayanan macam apa ini???"
Tipis banget
Bahannya biasa banget kain kaku beda sama yg celana ukuran panjangnya padahal 1 merk
Ukurannya pas
jahitan kancing tidak kuat
"Ukurannya pas, kerah nya kaku bagus"
ukuran XL nya masih terlalu ngepass cenderung kecil dan bahannya biasa banget
Ukurannya pas
"Produk bagus, layanan cepat"
Ukurannya pas
kaos nya bagus
Lumayan
Ukurannya pas cuman ya gitulah Tinggi badan < 160 cm
Ukurannya terlalu kecil
siip
"Tipis banget, kantong celananya keliatan sangking tipis nya"
xxl nya kecil
"Ga worth it sejauh ini gapernah ngasih rating dibawah 5, celana baru dipake beberapa kali karena salah gerak dikit jaitan bobrok"
sudah sering beli mantap bahannya
"Ukuran nya gak bener, masa 3XL lebar real nya 53cm pas di ukur.. jadi gak kepakai, gak muat.. bahan sedikit tipis tp bagus. Sblm nya beli yg oversized bagus bgt tp yg ini agak mengecewakan"
"Tipis sekali, bahan terlalu nerawang"
Ukurannya pas
"warna sesuai, bahan bagus"
"barang salah kirim, yg dateng ukuran xl"
tidak di kasih plastik per 1 baju
Pelayanan ga profesional Barang ga sesuai gambar Komplaiin pun d cuekin
cuttingannya jelek tiap baju beda2
Menurut saya ini cuttingannya jelek drpd polo rajut yg saya beli disini jg atau karena beda bahan ya? Tapi gpp lah untung dpt harga 50rb-an karena dpt cashback. Tapi ada kemajuan sih skrg dikirimnya tepat waktu. Dulu dulu misal beli dihari yang sama dikirim H+1 nya .
Bahan nyaman
Barang yg di kirim warna navy saya pesen warna ijo
Agak kebesaran
Ukurannya pas
biasa
salah size
Ukurannya pas
"ok, bahan ok, ukuran pas, sesuai deskripsi"
"diskon sih tapi dikasih produk yang bercak putih gini, kecewa"
Kaku banget bahannya. Gak bisa diangkat tangan satu dari bagian atas topi. Fedora harusnya gak sekaku dan sekeras ini
Tidak sesuai dengan pesanan
Ukurannya pas
jahitan agak kurang rapi ya. 
sablon kurang
mantap
mantep kualitas dan finising nya rapih
"Lupa kalo ini chino, tapi overall ok"
"Ini pembelian kesekian, tp kok berbeda Panjang bajunya ya, tidak sesuai deskripsi (kependekan) mohon, di qc sebelum kirim"
"jauh dari estimasi sampai, kurir payah, damage box. pelayanan kurang memuaskan admin nya."
Tinggi badan > 180 cm ukuran nya pas dengan memakai size 31 bb 66
kualitasnya kurang
Ukurannya terlalu besar
"baru cuci sekali dan baru di pakai sekali kantong dah jebol, padahal cuma ngantongi hp. duh gimana si"
Kualitas bagus sesuai harga
Ukurannya terlalu kecil Berat badan 71 - 80 kg kirain kalo bb 70-80 pke L udah pas ternyata bagian pinggul nya kekecilan jadi nya bisa ke pake
kualitas gak sebanding dengan harganya
"yang bener ajalah kalo bikin kantong. masa baru sehari dipake, cuman buat hp doang masa jebol."
Size 32 kekecilan di sini ya.
Bahan jelek sekali kekecilan dan panjang kaki bawahnya Ga bagus sama sekali!!
"gk pernah gagal mesen dsini, barang bagus, pengiriman cepat. thanks"
"barang mantap , recomend beli disini"
Mantep banget kualitasnya. Di atas ekspektasi. Rekomendasi pisan lah.
"mengecewakan. bahannya kurang bagus dan kelihatan murahan. ada banyak bekas lipatan yang tidak bisa hilang walau sudah disetrika. jahitannya juga kurang banget, banyak bekas benang jahit tidak dipotong. Desainnya memang bagus, tapi kalau bahannya kayak gini sih mending beli baju lain."
"bahan tipis, bikin panas, dan tdk menyerap keringat (bikin bau)"
Ga ada lubang kancing. di foto ga ada patch kulit pas barang sampe ada patch kulitnya
YANG DATANG BEDA SAMA ORDER YANG SEBELUMNYA. PADAHAL MODEL YANG DIPILIH SAMA. LIHAT FOTOOOO!!!!. KANAN BELI BULAN LALU. KIRI BELI BULAN INI.. PADAHAL JARAK PEMBELIAN KURANG DARI 3 MINGGU.
barangnya bagus
Oke lah buat harga segini
Ukurannya pas
"Mantap, barang berkualitas sesuai gambar"
lubang kancing blm ada hes lubang sendiri
