Kata,TF-IDF
apaaa,0.00012106460100621068
apaapa,0.0004587355414968761
apabila,8.485760112373303e-05
apalg,5.364960109967839e-05
apek,7.914423840300502e-05
apes,8.922362005255799e-05
apik,0.00012762744730756992
aplikasi,8.715168615456056e-05
apparel,9.192804438877524e-05
approach,0.00013100052363279865
apr,4.923173721356021e-05
april,9.485041532971627e-05
aq,4.7548174136115825e-05
arah,0.00015280234239984186
area,0.0004945567459336043
army,0.0003602082112641385
arti,0.00033165206699084965
artikel,0.00012106460100621068
as,0.0002569616881500119
asa,0.0014664375360152408
asal,0.0008075863115261883
asal2an,0.00015006934054466204
asaln,0.00011959952635119247
asem,0.00018270059344276056
asli,0.002580760126213744
aspek,5.364960109967839e-05
astagaaaa,6.86674613386229e-05
astaghfirullah,0.00014040820739873744
asyik,0.00016853173202519648
at,6.918820394975645e-05
atas,0.0018806693124691022
atau,0.00023745445060413043
ato,4.684331293275939e-05
atur,9.912786788064611e-05
autentik,5.128679096571293e-05
auto,0.00028703830431386896
available,0.00010558624662600362
awal,0.0005804363705941738
awet,0.003105184247378258
ayo,0.00025523942331033024
b3,0.00014782431302206138
baca,0.00030349690442144333
back,4.2650621273655046e-05
background,7.053900278837013e-05
bad,0.0020465975212652855
badan,0.03220659944908681
bag,0.00017518449925640824
bagaimana,0.0011217220328382468
bagain,0.0001350020397545031
bagi,0.00646710363329576
bagus,0.059937952929253344
bagus2,0.00034991982464221044
bagusga,0.00013708164456099222
bagusin,0.00010251946206519866
bagusringantebal,0.0002116165190832201
bagustebal,0.00015515390217456912
bahan,0.048872178998706495
bahannyapackaging,0.00013708164456099222
bahansablon,0.000223484447674758
bahanya,0.0018963359579877285
bahas,0.00016846548942140148
bahkan,0.0003018219586739212
bahu,4.419798354431941e-05
bahwa,0.00011299722993406395
baik,0.010349429726366976
baiksesuai,0.0001502084592629254
baja,0.0002321445401990133
baju,0.0075573662856206975
baju2,8.397144121308385e-05
bakal,0.001608144423903239
bakar,0.00012138099158008893
baku,7.757788743186686e-05
balas,0.0003227770272495003
bales,0.00015442363984613115
balik,0.000729936138088529
balikin,0.00010665490056364706
ban,0.00010728484258503839
banding,0.0025531054978136084
bandung,0.00030436743791518897
bang,0.00022579846893636991
banget,0.02008683117130491
bangetbahan,0.00011373615919033832
bangetniat,0.00013708164456099222
bangettt,0.00016398497711024728
bangetttt,0.00021410973652578297
bangladesh,0.0004741317054334344
bangus,0.00011265977020092721
bantal,0.00012448142288085405
bantu,0.0006430474772921507
banyak,0.004839248270350848
banyakin,0.0001666543443765903
bar,4.808356010209602e-05
barang,0.036790741856146274
barangkali,6.409568223696111e-05
barat,0.00010896538975033861
bareng,3.288714848047633e-05
baret,9.752956228566362e-05
barnag,0.00020001856045368275
baru,0.007308796085430667
basah,3.288714848047633e-05
baseball,0.00013516607517850262
batal,0.000397544620230942
batang,6.528107982885219e-05
batas,0.00022087939539148892
bau,0.0009748553132224834
bauk,0.00014897556150896295
bawa,0.0003134998456690712
bawah,0.0024010992975122647
bayang,0.00024075958903039453
bayar,0.0005588194984099764
bb,0.0024055807905605095
bb75,8.316169512165559e-05
bbrpa,0.0001821136940837953
bbtb,0.00018295390308769167
be,5.3699417796699745e-05
bebberapaa,0.00013836500499574448
beberapa,0.0018748915703061786
beda,0.010761052305838832
beda2,0.0010825633333504648
bedanavy,3.771426564476829e-05
begini,0.000613779387675884
begitu,0.00010515505250100556
bekas,0.0010510668382709236
bel,9.186887336605982e-05
belah,0.001033753231427849
belakang,0.001556989750914729
belanja,0.0022443944196877124
belel,0.0001417828465177352
beli,0.0141859426633857
belt,0.00022855127299140041
beltnya,0.00013867023828615188
belum,0.0035504046146809607
benah,0.0003130222859792358
benang,0.003348834661404574
benang2,0.0008278246599179074
benangnyareview,7.434200046356316e-05
benar,0.0026216823155180953
benarkecewa,0.00018511714670117627
benarkualitas,9.088774753925334e-05
benda,9.138705813099925e-05
bener2,0.00043497413710050486
benerbener,0.00011592659888902293
bengkok,5.6834792801409725e-05
bening,3.75758702689165e-05
bentuk,0.0015338682027065038
berani,6.92166846844565e-05
beranta,0.0008194191048591315
berapa,0.0005695753494677122
beras,7.459672651011437e-05
berat,0.013915514345433564
bercak,0.00024073376815677208
bercak2,5.7928670213090414e-05
beri,0.00034958674801454856
berkah,0.0004761927342891115
berkali2,0.00022509334691641356
bersih,0.0003438844187758218
bertaggung,0.00012809612656975973
bertaggungjawab,0.0001396996200168913
bertele2,0.00010820110908366639
beruang,4.182097591741339e-05
berudul,8.25220247616485e-05
berudulan,0.0001056498391460953
besar,0.009877934528553442
besarbahan,0.0001422116339893739
besarlihat,7.23565664120871e-05
besarrr,0.000103821825917722
besi,0.00037153998957479336
besok,0.00046877819470944636
best,0.0008895517702525642
betis,0.00021799341190847487
betkenan,3.9185110113794444e-05
better,0.0004586503604007421
betul,0.0006142302560150824
betulll,0.00014437296804144383
beud,6.666103437086866e-05
beuuh,8.458295021391639e-05
bewarna,8.105010034277064e-05
bg,5.4609938096039615e-05
bgett,8.481905628255106e-05
bgni,6.251751175723686e-05
bgtt,0.00011332682381210938
biar,0.001350581037612905
biarpun,6.972565439270661e-05
biasa,0.00915992046478134
biasa2,0.00025282378000195186
biaya,0.0002390071689912629
bicara,0.00019688317671853783
bijak,0.00016005951232097034
biji,0.00040716396206235924
bila,0.0002338863680055086
bilang,0.0005528673967046904
bin,6.528107982885219e-05
binggung,8.285676690908473e-05
bingung,0.000319464455166996
bintang,0.002361313892285955
biru,0.002344842318254563
bisa,0.0010349181386389622
bisa2,7.573883916944534e-05
bisapelayanan,0.0001438970538929733
bisnis,6.595270921533394e-05
bitang,6.377247432516882e-05
biyaya,7.365410497615241e-05
bkin,8.503067033029618e-05
black,0.0005253228832588906
blacklist,6.822993272309804e-05
blazer,8.828143445472238e-05
blue,0.00028914049519188843
bngt,0.00021657082843234087
bnyak,0.0001285660322332007
bobok,9.903723707677157e-05
bobrok,0.0002983498502692857
bodoh,6.669670605599271e-05
body,0.0005617696444760367
bodynya,0.000114940605802964
bohong,0.00037150870151035045
boi,4.182097591741339e-05
bokap,0.00012033633059907082
bokong,0.0003650101027473655
bola,0.00036665752176775145
bolak,0.0003318229721366634
bolehlaah,0.00048607256000381805
bolong,0.000891392385507696
bolong2,5.4609938096039615e-05
bolongdan,0.00013293084456394142
bolongin,0.00012280547616651307
bomber,0.0001418456924012609
bonus,0.0018302169905392758
boong,7.733796395808018e-05
boongin,4.837821706920779e-05
bordir,6.377247432516882e-05
boro2,4.5512960807837257e-05
bos,0.0003189415531754339
bosan,0.000126411200066327
bosque,0.00013426980307269044
boss,0.00022295961962983646
bosskuh,0.0001355387918346189
bot,0.0001962642145477704
bought,4.2650621273655046e-05
bow,8.828143445472238e-05
box,0.0005602375699059445
boxnya,0.0001710937396289643
brand,0.0016486211990178366
branded,8.870117654253797e-05
branding,0.00026599973196024605
brandnya,8.796705164062311e-05
